137 Q0 LMaikkynzkiG	1  0.33297676 Siena2
137 Q0 Vt/qjPxAvCXg	2  0.2760376 Siena2
137 Q0 S7bESwvU7cAj	3  0.2661599 Siena2
137 Q0 WGryNThRaEMt	4  0.26060376 Siena2
137 Q0 mnryt1WF/Ptn	5  0.25835553 Siena2
137 Q0 5uuOM8xmv5xj	6  0.25784767 Siena2
137 Q0 qYBiYXK2wZ6g	7  0.24937725 Siena2
137 Q0 53Mgj+mdiwM4	8  0.24728614 Siena2
137 Q0 7lBXszgPaxYR	9  0.24519315 Siena2
137 Q0 +dE5HVUhPhFw	10  0.23732467 Siena2
136 Q0 BifPmNfqXfrK	1  1.6012858 Siena2
136 Q0 Zz7H0mtKkpPA	2  1.4783134 Siena2
136 Q0 TsGvmTSaWaNd	3  1.4501671 Siena2
136 Q0 ZKTtcvaGSmxM	4  1.4478601 Siena2
136 Q0 3/sIoQD8aDzu	5  1.4072635 Siena2
136 Q0 qn8cumzmJ4Yc	6  1.386754 Siena2
136 Q0 VuxCEV7IUj2T	7  1.3071567 Siena2
136 Q0 3pXcZ/QqgU0V	8  1.2807468 Siena2
136 Q0 Zmngyi/adPwJ	9  1.2807468 Siena2
136 Q0 40gxWolihqE6	10  1.2428654 Siena2
139 Q0 3bfXt3eHZ5l3	1  0.17908655 Siena2
139 Q0 R8GVPeKS1iMP	2  0.17855112 Siena2
139 Q0 GkKuiElLunfh	3  0.17210062 Siena2
139 Q0 9zmfziPGVQsF	4  0.16351768 Siena2
139 Q0 cTVlKqP2X3QA	5  0.15369004 Siena2
139 Q0 c8IO1vRG7UaV	6  0.14969411 Siena2
139 Q0 QoGV8ObUfyj+	7  0.1491594 Siena2
139 Q0 L4YsJCsdnxl4	8  0.14778368 Siena2
139 Q0 19Z0Pw8zq+zN	9  0.14702979 Siena2
139 Q0 zK60+JZI60kz	10  0.14574009 Siena2
138 Q0 LfvIWCiSIUam	1  0.23128244 Siena2
138 Q0 DRzcPQQYGujZ	2  0.18359941 Siena2
138 Q0 qTzCZ7xgNfHW	3  0.15153253 Siena2
138 Q0 oivs/Ct9VbVd	4  0.13805987 Siena2
138 Q0 YGhGna9pLjLY	5  0.13785279 Siena2
138 Q0 G77e8JNZTPxI	6  0.12959898 Siena2
138 Q0 XWHef6hyl2/f	7  0.12938286 Siena2
