137 Q0 bkf40U0WKDb/	1  0.18002042 Siena1
137 Q0 lGJD+Rt+ZEmx	2  0.16008137 Siena1
137 Q0 L5ANlXCH5RLi	3  0.1384334 Siena1
137 Q0 hqSVZ3z2xZJs	4  0.12479656 Siena1
137 Q0 LMaikkynzkiG	5  0.12278124 Siena1
137 Q0 /RWLa4Wy0Kst	6  0.119049035 Siena1
137 Q0 jkdoMTRARsqe	7  0.118938014 Siena1
137 Q0 AoFLAOjZguWi	8  0.115047924 Siena1
137 Q0 t9qoq91ezsO4	9  0.11491153 Siena1
137 Q0 0odwrFDiuUIH	10  0.11182505 Siena1
136 Q0 BifPmNfqXfrK	1  1.2361126 Siena1
136 Q0 Zz7H0mtKkpPA	2  1.1822473 Siena1
136 Q0 ZKTtcvaGSmxM	3  1.1495163 Siena1
136 Q0 3/sIoQD8aDzu	4  1.1488122 Siena1
136 Q0 TsGvmTSaWaNd	5  1.1386604 Siena1
136 Q0 qn8cumzmJ4Yc	6  1.070505 Siena1
136 Q0 VuxCEV7IUj2T	7  1.0337191 Siena1
136 Q0 3pXcZ/QqgU0V	8  1.0128336 Siena1
136 Q0 Zmngyi/adPwJ	9  1.0128336 Siena1
136 Q0 wE0tR1JYieBw	10  0.97718525 Siena1
139 Q0 3PEuwfVrESoJ	1  0.34317628 Siena1
139 Q0 M91iaEOxtT69	2  0.33067062 Siena1
139 Q0 BJr2WObI0995	3  0.29492778 Siena1
139 Q0 NflaSmZzBU9P	4  0.28631324 Siena1
139 Q0 CpO3SfyavyTe	5  0.24504851 Siena1
139 Q0 730zGAqjtnmB	6  0.2426623 Siena1
139 Q0 P65k6xnIyUJm	7  0.22807793 Siena1
139 Q0 R0GxpwyGlgX4	8  0.21860214 Siena1
139 Q0 GiueZfWtZZP9	9  0.21761939 Siena1
139 Q0 4waJFudOxnYJ	10  0.21421218 Siena1
138 Q0 DRzcPQQYGujZ	1  0.5517389 Siena1
138 Q0 qTzCZ7xgNfHW	2  0.41925865 Siena1
138 Q0 +jPZ9FNi+Upb	3  0.37197128 Siena1
138 Q0 aeUO2phJsklP	4  0.32453984 Siena1
138 Q0 6ci/93MNYkZ0	5  0.32123157 Siena1
138 Q0 YGhGna9pLjLY	6  0.31812295 Siena1
138 Q0 7rxl4FbVmi/Z	7  0.31397152 Siena1
138 Q0 aTe6xc/v+Wyk	8  0.30762237 Siena1
138 Q0 6+NermLv9EuK	9  0.29991332 Siena1
138 Q0 G77e8JNZTPxI	10  0.2920336 Siena1
141 Q0 WAi7HaaX4v6m	1  0.19860478 Siena1
141 Q0 8HlCIHW+GZmg	2  0.18739209 Siena1
141 Q0 FELZqWo68QZK	3  0.18420666 Siena1
141 Q0 MHvN476S+Z05	4  0.1709999 Siena1
141 Q0 gKljWanhYgg8	5  0.1677873 Siena1
141 Q0 l9+Dca+qFD0l	6  0.16683637 Siena1
141 Q0 rE7EzVdglmSj	7  0.16610293 Siena1
141 Q0 wshaNlZ1AiHA	8  0.16602647 Siena1
141 Q0 yqryUy7T2maV	9  0.16376224 Siena1
141 Q0 XT/NpnRyio+b	10  0.16177168 Siena1
140 Q0 Yen7VXxperTU	1  0.6832677 Siena1
140 Q0 Ea+0d1Xq8iAg	2  0.5617685 Siena1
140 Q0 +HI7O1ITwooZ	3  0.51783824 Siena1
140 Q0 b+Hl1GZUHScf	4  0.5170516 Siena1
140 Q0 AqHmX3StjhjV	5  0.47365907 Siena1
140 Q0 gN+tUgTmyaLG	6  0.41574746 Siena1
140 Q0 9NMpZ7PMTUWG	7  0.41111928 Siena1
140 Q0 IAUt/K7PEhj3	8  0.38103345 Siena1
140 Q0 4fjxYdTgVKXW	9  0.37371755 Siena1
140 Q0 +C3iOvpQW4+X	10  0.37371755 Siena1
143 Q0 Cchp0A33pcLO	1  1.2889986 Siena1
143 Q0 6GvQJQ+p8Mw9	2  1.1710969 Siena1
143 Q0 N7KJ0vhk4xM6	3  1.1211213 Siena1
